episode,timestep,reward
1,20,-0.7105000019073486
3,40,-0.6844500303268433
5,60,-0.6197500228881836
7,80,-0.7355999946594238
9,100,-0.7163000106811523
11,120,-0.7239999771118164
13,140,-0.8259999752044678
15,160,-0.7531999945640564
17,180,-0.7200499773025513
19,200,-0.8421000242233276
21,220,-0.7769999504089355
23,240,-0.46744999289512634
25,260,-0.6266499757766724
27,280,-0.8696500062942505
29,300,-0.8132500052452087
31,320,-0.43594998121261597
33,340,-0.8601499795913696
35,360,-0.8246999979019165
37,380,-0.8043999671936035
39,400,-0.8646500110626221
41,420,-0.7837499976158142
43,440,-0.7889000177383423
45,460,-0.871999979019165
47,480,-0.8155499696731567
49,500,-0.85589998960495
51,520,-0.8682500123977661
53,540,-0.7522000074386597
55,560,-0.8677999973297119
57,580,-0.8497500419616699
59,600,-0.7796499729156494
61,620,-0.774649977684021
63,640,-0.7380499839782715
65,660,-0.9255000352859497
67,680,-0.8476499915122986
69,700,-0.7401000261306763
71,720,-0.7613999843597412
73,740,-0.8634499907493591
75,760,-0.8392000198364258
77,780,-0.8438999652862549
79,800,-0.7741999626159668
81,820,-0.7421500086784363
83,840,-0.9602999687194824
85,860,-0.8449499607086182
87,880,-0.8235000371932983
89,900,-0.7347500324249268
91,920,-0.7857500314712524
93,940,-0.8420000076293945
95,960,-0.7825499773025513
97,980,-0.7869499921798706
99,1000,-0.8299999833106995
101,1020,-0.8117499947547913
103,1040,-0.7435500025749207
105,1060,-0.75204998254776
107,1080,-0.774150013923645
109,1100,-0.8034499883651733
111,1120,-0.7369999885559082
113,1140,-0.6847000122070312
115,1160,-0.7893500328063965
117,1180,-0.7526999711990356
119,1200,-0.8070999979972839
121,1220,-0.6055999994277954
123,1240,-0.659000039100647
125,1260,-0.7531499862670898
127,1280,-0.8090000152587891
129,1300,-0.6396999955177307
131,1320,-0.7065000534057617
133,1340,-0.7071499824523926
135,1360,-0.5917999744415283
137,1380,-0.628000020980835
139,1400,-0.6198999881744385
141,1420,-0.7480000257492065
143,1440,-0.6791999936103821
145,1460,-0.6118000149726868
