episode,timestep,reward
3,40,-0.6878499984741211
7,80,-0.6617000102996826
11,120,-0.6722999811172485
15,160,-0.6281999945640564
19,200,-0.7156499624252319
23,240,-0.6987999677658081
27,280,-0.6964499950408936
31,320,-0.6528500318527222
35,360,-0.628600001335144
39,400,-0.6592000126838684
43,440,-0.6848999857902527
47,480,-0.6893999576568604
51,520,-0.6525000333786011
55,560,-0.6992499828338623
59,600,-0.6834999918937683
63,640,-0.7013999819755554
67,680,-0.6333500146865845
71,720,-0.6574000120162964
