episode,timestep,reward
3,40,-0.7250999808311462
7,80,-0.742650032043457
11,120,-0.6894999742507935
15,160,-0.668150007724762
19,200,-0.7177499532699585
23,240,-0.67044997215271
27,280,-0.7143499851226807
31,320,-0.7379000186920166
35,360,-0.6702499985694885
39,400,-0.6938999891281128
43,440,-0.6847000122070312
47,480,-0.6657500267028809
51,520,-0.6789000034332275
55,560,-0.7120000123977661
59,600,-0.621999979019165
63,640,-0.6611000299453735
67,680,-0.6850500106811523
71,720,-0.7304999828338623
75,760,-0.659500002861023
