episode,timestep,reward
3,40,-0.6362999677658081
7,80,-0.6798000335693359
11,120,-0.6730999946594238
15,160,-0.6817499995231628
19,200,-0.6319500207901001
23,240,-0.6052500009536743
27,280,-0.6921499967575073
31,320,-0.6429499983787537
35,360,-0.6569499969482422
39,400,-0.698199987411499
43,440,-0.6556500196456909
47,480,-0.6714000105857849
51,520,-0.645799994468689
55,560,-0.5989500284194946
59,600,-0.6314499974250793
63,640,-0.573199987411499
67,680,-0.5978000164031982
71,720,-0.6326000094413757
75,760,-0.6246000528335571
79,800,-0.5759000182151794
83,840,-0.6347500085830688
87,880,-0.6171000003814697
91,920,-0.6154999732971191
95,960,-0.6665999889373779
99,1000,-0.5357500314712524
103,1040,-0.6620500087738037
107,1080,-0.6663500070571899
111,1120,-0.6085500121116638
115,1160,-0.5836499929428101
