episode,timestep,reward
1,20,-0.6994999647140503
3,40,-0.6370999813079834
5,60,-0.6865500211715698
7,80,-0.6468499898910522
9,100,-0.5785999894142151
11,120,-0.6827999949455261
13,140,-0.6446499824523926
15,160,-0.7167500257492065
17,180,-0.6777999997138977
19,200,-0.7046499848365784
21,220,-0.6592999696731567
23,240,-0.8128499984741211
25,260,-0.840399980545044
27,280,-0.8167999982833862
29,300,-0.7086499929428101
31,320,-0.7925000190734863
33,340,-0.8214499950408936
35,360,-0.8523499965667725
37,380,-0.6534500122070312
39,400,-0.7382000088691711
41,420,-0.7191500067710876
43,440,-0.6207499504089355
45,460,-0.730650007724762
47,480,-0.7014000415802002
49,500,-0.6880500316619873
51,520,-0.7385500073432922
53,540,-0.6972500085830688
55,560,-0.5368000268936157
57,580,-0.5920000076293945
59,600,-0.6384999752044678
61,620,-0.4719499945640564
63,640,-0.5902000069618225
65,660,-0.7212499976158142
67,680,-0.725600004196167
69,700,-0.7697000503540039
71,720,-0.6999000310897827
73,740,-0.753600001335144
75,760,-0.8311499953269958
77,780,-0.7585999965667725
79,800,-0.7388999462127686
81,820,-0.7417500019073486
83,840,-0.8503000140190125
85,860,-0.7882000207901001
87,880,-0.7920500040054321
89,900,-0.7003500461578369
91,920,-0.6504999995231628
93,940,-0.6617499589920044
95,960,-0.7587000131607056
97,980,-0.6142499446868896
99,1000,-0.7071499824523926
101,1020,-0.7098499536514282
103,1040,-0.5867000222206116
105,1060,-0.617400050163269
107,1080,-0.5856499671936035
109,1100,-0.6351000070571899
111,1120,-0.6567000150680542
113,1140,-0.6992499828338623
115,1160,-0.6523500084877014
117,1180,-0.5845500230789185
119,1200,-0.5552499890327454
121,1220,-0.5612499713897705
123,1240,-0.6060500144958496
125,1260,-0.5595500469207764
127,1280,-0.5478999614715576
129,1300,-0.6348000168800354
131,1320,-0.5062000155448914
133,1340,-0.5845999717712402
135,1360,-0.7361500263214111
137,1380,-0.6999000310897827
139,1400,-0.6294499635696411
141,1420,-0.6333500146865845
143,1440,-0.5859000086784363
145,1460,-0.5927000045776367
147,1480,-0.6895500421524048
149,1500,-0.6155500411987305
151,1520,-0.6669999957084656
153,1540,-0.7035499811172485
155,1560,-0.6470500230789185
