episode,timestep,reward
1,20,-0.7367
3,40,-0.6031
5,60,-0.612
7,80,-0.6866
9,100,-0.7297
11,120,-0.5706
13,140,-0.7169
15,160,-0.6192
17,180,-0.7346
19,200,-0.5942
21,220,-0.6074
23,240,-0.552
25,260,-0.515
27,280,-0.5508
29,300,-0.5279
31,320,-0.4724
33,340,-0.5403
35,360,-0.5992
37,380,-0.4634
39,400,-0.5221
41,420,-0.4758
43,440,-0.6167
45,460,-0.4588
47,480,-0.4772
49,500,-0.4023
51,520,-0.4581
53,540,-0.5957
55,560,-0.4566
57,580,-0.4084
59,600,-0.5737
61,620,-0.6402
63,640,-0.4521
65,660,-0.5086
67,680,-0.6079
69,700,-0.4249
71,720,-0.5249
73,740,-0.45
75,760,-0.5845
77,780,-0.4305
79,800,-0.4264
81,820,-0.4421
83,840,-0.5333
85,860,-0.4559
87,880,-0.5038
89,900,-0.457
91,920,-0.6089
93,940,-0.5162
95,960,-0.4799
97,980,-0.3347
99,1000,-0.4307
101,1020,-0.3846
103,1040,-0.5299
105,1060,-0.5999
107,1080,-0.5736
109,1100,-0.4409
111,1120,-0.4745
113,1140,-0.4748
115,1160,-0.3553
117,1180,-0.5973
119,1200,-0.4494
121,1220,-0.43
123,1240,-0.5775
125,1260,-0.4095
127,1280,-0.4303
129,1300,-0.5053
131,1320,-0.5253
133,1340,-0.2765
135,1360,-0.5481
137,1380,-0.4689
139,1400,-0.4568
141,1420,-0.5452
143,1440,-0.5913
145,1460,-0.7772
147,1480,-0.6762
149,1500,-0.6938
151,1520,-0.5844
153,1540,-0.6135
155,1560,-0.6465
157,1580,-0.7572
159,1600,-0.581
161,1620,-0.5801
163,1640,-0.6717
165,1660,-0.5288
167,1680,-0.6407
169,1700,-0.5399
171,1720,-0.5788
173,1740,-0.5404
175,1760,-0.5606
177,1780,-0.6104
179,1800,-0.5583
181,1820,-0.5202
183,1840,-0.564
185,1860,-0.4577
187,1880,-0.6196
189,1900,-0.5518
191,1920,-0.4602
193,1940,-0.5527
195,1960,-0.6052
197,1980,-0.4352
199,2000,-0.606
201,2020,-0.4764
203,2040,-0.4703
205,2060,-0.6911
207,2080,-0.4778
209,2100,-0.4741
211,2120,-0.4921
213,2140,-0.4768
215,2160,-0.5342
217,2180,-0.4832
219,2200,-0.4725
221,2220,-0.4039
223,2240,-0.4096
225,2260,-0.4671
227,2280,-0.4435
229,2300,-0.4848
231,2320,-0.5223
233,2340,-0.4645
235,2360,-0.5144
237,2380,-0.3991
239,2400,-0.4896
241,2420,-0.4398
243,2440,-0.3547
245,2460,-0.4021
247,2480,-0.3849
249,2500,-0.4815
251,2520,-0.4252
253,2540,-0.4632
255,2560,-0.4816
257,2580,-0.2836
259,2600,-0.3743
261,2620,-0.5039
263,2640,-0.4345
265,2660,-0.4334
267,2680,-0.3206
269,2700,-0.4013
271,2720,-0.5796
273,2740,-0.4082
275,2760,-0.4293
277,2780,-0.4242
279,2800,-0.4334
281,2820,-0.4288
283,2840,-0.4011
285,2860,-0.411
287,2880,-0.3808
289,2900,-0.513
291,2920,-0.2124
293,2940,-0.4482
295,2960,-0.3336
297,2980,-0.4371
299,3000,-0.4518
301,3020,-0.431
303,3040,-0.4796
305,3060,-0.4357
307,3080,-0.542
309,3100,-0.4946
311,3120,-0.4491
313,3140,-0.5054
315,3160,-0.428
317,3180,-0.4778
319,3200,-0.4338
321,3220,-0.4279
323,3240,-0.5058
325,3260,-0.4072
327,3280,-0.3536
329,3300,-0.2811
331,3320,-0.1604
333,3340,-0.3061
335,3360,-0.3616
337,3380,-0.2294
339,3400,-0.4449
341,3420,-0.4118
343,3440,-0.3962
345,3460,-0.4351
347,3480,-0.4558
349,3500,-0.3273
351,3520,-0.3309
