episode,timestep,reward
1,40,-0.6225999593734741
3,80,-0.591949999332428
5,120,-0.6367999911308289
7,160,-0.5690000057220459
9,200,-0.5734500288963318
11,240,-0.4906499981880188
13,280,-0.5608000159263611
15,320,-0.5076500177383423
17,360,-0.46480000019073486
19,400,-0.43709999322891235
21,440,-0.5406500101089478
23,480,-0.40015000104904175
25,520,-0.5419000387191772
27,560,-0.5026500225067139
29,600,-0.45225000381469727
31,640,-0.304749995470047
33,680,-0.4811999797821045
35,720,-0.5324500203132629
37,760,-0.6016499996185303
39,800,-0.4275500178337097
41,840,-0.6026999950408936
43,880,-0.5514999628067017
