episode,timestep,reward
1,20,-0.6790499687194824
3,40,-0.7099999785423279
5,60,-0.6736999750137329
7,80,-0.6724500060081482
9,100,-0.6329500079154968
11,120,-0.5561999678611755
13,140,-0.663599967956543
15,160,-0.6067000031471252
17,180,-0.6280999779701233
19,200,-0.5816999673843384
21,220,-0.6054999828338623
23,240,-0.6496000289916992
25,260,-0.6887999773025513
27,280,-0.6212999820709229
29,300,-0.5630000233650208
31,320,-0.6141999959945679
33,340,-0.5440999865531921
35,360,-0.4912000298500061
37,380,-0.7069000005722046
39,400,-0.6639500260353088
41,420,-0.7079499959945679
43,440,-0.6030499935150146
45,460,-0.6155999898910522
47,480,-0.5636999607086182
49,500,-0.6132000088691711
51,520,-0.5785000324249268
53,540,-0.6276000142097473
55,560,-0.5898499488830566
57,580,-0.6137000322341919
59,600,-0.57955002784729
